provider,country,language,url
Logitech Harmony,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=Logitech+Harmony+conrad+connect&searchType=mainSearchBar
Devolo,Slovenia,si,https://www.conrad.si/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dslowenien%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmd5%252ff60951f67a41b74b19d702b35e577ff3%252fmd5%257d&search_input=Devolo+Home+Control&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Devolo,Croatia,hr,https://www.conrad.hr/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dhr%252fs%257d%257bl%252f02%252daa%252fl%257d%257bmd5%252f37712bcd1c172371d1c2ec19eb6aef23%252fmd5%257d&search_input=Devolo+Home+Control&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Devolo,Czech Republic,cz,http://www.conrad.cz/vyhledavani?text=Devolo+Home+Control
Smappee,Czech Republic,cz,http://www.conrad.cz/sada-merice-spotreby-smappee-e1-euf-t.k1422812
Devolo,Slovakia,sk,http://www.conrad.sk/vyhledavani?text=Devolo+Home+Control
Smappee,Slovakia,sk,http://www.conrad.sk/sada-meraca-spotreby-el-energie-smappee-e1-euf-t.k1422812
Devolo,Great Britain,uk,http://www.conrad-electronic.co.uk/ce/en/Search.html;jsessionid=044AD4FB5DABD6DEE9D7789EEA158C4D.ASTPCEN28?search=Devolo+Home+Control&searchType=mainSearchBar
Devolo,Hungary,hu,https://www.conrad.hu/hu/Search.html?searchType=REGULAR&search=Devolo%20Home%20Control
Devolo,Poland,pl,https://www.conrad.pl/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmd5%252f126ad35e4e36b5aa69e73c1258918895%252fmd5%257d&search_input=Devolo+Home+Control&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Fitbit,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311345&searchType=mainSearchBar
Garmin,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311346&searchType=mainSearchBar
Logitech Harmony,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311347&searchType=mainSearchBar
Mobile Alerts,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311349&searchType=mainSearchBar
Netatmo,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311350&searchType=mainSearchBar
Philips Hue,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311351&searchType=mainSearchBar
Polar,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311352&searchType=mainSearchBar
Innogy,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311353&searchType=mainSearchBar
Withings,France,fr,http://www.conrad.fr/ce/fr/Search.html?search=%2311355&searchType=mainSearchBar
